time,num_actors,gdp,transactions,min_transaction,max_transaction,collected_tax,failed_tax,collected_vat,failed_vat,debt
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
12,10000,469740006.7845,92647,162.9966,158973.1450,230501421.3311,0,0.0000,0,31231754.6689
24,10000,517322777.1596,92385,596.5110,168201.9561,253850286.7661,0,0.0000,0,38691607.9028
36,10000,522517545.6273,88689,682.0300,167410.9036,256399359.6449,0,0.0000,0,43602388.2579
48,10000,527790923.2811,87014,777.1681,166065.7081,258987006.0560,0,0.0000,0,45925522.2019
60,10000,533099899.3929,86683,850.1638,180115.7610,261592120.6371,0,0.0000,0,45643541.5648
72,10000,538430403.4870,86490,685.4388,186755.7049,264207798.9964,0,0.0000,0,42745882.5684
84,10000,543841540.3585,86817,731.4794,199230.8303,266863043.8471,0,0.0000,0,37192978.7213
96,10000,549372107.9447,87520,539.0749,149695.1461,269576893.3622,0,0.0000,0,28926225.3591
108,10000,554891715.2773,88295,632.9551,186961.5461,272285364.6921,0,0.0000,0,17951000.6670
120,10000,560403990.4492,89808,700.6783,212814.1339,274990238.1099,0,0.0000,0,4270902.5571
132,10000,566050054.0132,90517,523.5592,166378.5292,277760761.5070,0,0.0000,0,-12179718.9499
144,10000,571690457.4594,90643,762.3805,260834.1248,280528507.4743,0,0.0000,0,-31398086.4242
156,10000,577446971.3731,92168,775.5763,161545.2217,283353228.8494,0,0.0000,0,-53441175.2736
168,10000,583250642.2614,93297,602.4033,275772.3140,286201090.1552,0,0.0000,0,-78332125.4288
180,10000,589112055.3151,94802,811.4302,160337.7895,289077285.5422,0,0.0000,0,-106099270.9710
192,10000,595014675.4061,96499,624.0023,167736.7388,291973701.2189,0,0.0000,0,-136762832.1899
204,10000,600991555.5177,97225,653.1472,247419.9824,294906556.2990,0,0.0000,0,-170359248.4889
216,10000,607059014.7189,98547,780.1882,278635.8047,297883858.5202,0,0.0000,0,-206932967.0091
228,10000,613151334.7964,99226,651.0829,249308.2945,300873359.9850,0,0.0000,0,-246496186.9941
240,10000,619262988.2830,100585,773.7797,262831.7607,303872348.3691,0,0.0000,0,-289058395.3632
252,10000,625489492.8364,101899,727.9814,241736.6636,306927694.1391,0,0.0000,0,-334675949.5023
264,10000,631788012.1615,104103,435.6579,256746.3262,310018377.5770,0,0.0000,0,-383384187.0793
276,10000,638134663.1064,105324,615.2230,295275.5907,313132679.2002,0,0.0000,0,-435206726.2795
288,10000,644545187.9374,107021,616.6948,281085.5259,316278323.7114,0,0.0000,0,-490174909.9909
300,10000,651015437.5331,107882,588.1157,303130.1321,319453275.1988,0,0.0000,0,-548318045.1897
312,10000,657565171.2718,109615,650.9928,256198.9235,322667229.5343,0,0.0000,0,-609675134.7240
324,10000,664193606.4636,112087,351.5508,221059.0988,325919802.6999,0,0.0000,0,-674284797.4239
336,10000,670855571.9912,114172,722.1581,323253.7934,329188829.1737,0,0.0000,0,-742163486.5976
348,10000,677582612.1840,114771,384.7272,1107897.5164,332489787.8013,0,0.0000,0,-813343134.3989
360,10000,684369858.1784,116506,504.0755,1230816.7690,335820289.4064,0,0.0000,0,-887853283.8053
372,10000,691270136.8294,117939,581.6640,517715.9341,339206256.1484,0,0.0000,0,-965749399.9537
384,10000,698216085.4409,120730,695.6892,616120.1597,342614633.1306,0,0.0000,0,-1047053893.0843
396,10000,705201327.2980,122845,429.3898,265628.6452,346042291.3039,0,0.0000,0,-1131786044.3882
408,10000,712295796.4919,124678,583.9144,403402.0594,349523547.3278,0,0.0000,0,-1219999451.7160
420,10000,719460166.7567,127211,431.7653,280741.6254,353039103.8321,0,0.0000,0,-1311728415.5481
432,10000,726687273.8838,128883,536.0377,529653.7751,356585445.2926,0,0.0000,0,-1407003720.8407
444,10000,733969417.3139,131025,557.5061,786011.2227,360158793.0730,0,0.0000,0,-1505852373.9137
456,10000,741334989.5937,133185,567.7003,614789.2331,363773079.3930,0,0.0000,0,-1608315313.3067
468,10000,748796018.9436,135581,548.8550,607918.3401,367434206.4896,0,0.0000,0,-1714439379.7963
480,10000,756336059.6256,139346,540.7053,441771.1324,371134104.4465,0,0.0000,0,-1824263344.2428
492,10000,763910219.5545,141809,478.5033,335426.9267,374850744.7297,0,0.0000,0,-1937803948.9725
504,10000,771586428.0008,144225,378.7485,1137232.2328,378617460.2194,0,0.0000,0,-2055111269.1919
516,10000,779347174.0711,148432,313.9104,267915.0452,382425658.3137,0,0.0000,0,-2176226787.5056
528,10000,787164470.0591,151624,466.3803,352694.5188,386261605.4606,0,0.0000,0,-2301178252.9662
540,10000,795069752.0782,154901,421.7701,422443.9700,390140727.3434,0,0.0000,0,-2430008840.3096
552,10000,803064300.6553,158589,384.6640,552657.7922,394063652.3340,0,0.0000,0,-2562762352.6436
564,10000,811123029.1846,161990,389.5485,571943.5200,398018070.4160,0,0.0000,0,-2699470283.0596
576,10000,819277111.2005,164633,430.9486,751724.5380,402019278.4718,0,0.0000,0,-2840179421.5314
588,10000,827510108.8240,169267,431.0574,598519.7677,406059210.4020,0,0.0000,0,-2984928491.9334
600,10000,835808774.0113,173741,456.4945,865924.9466,410131365.4060,0,0.0000,0,-3133749717.3394
612,10000,844210824.4365,178138,404.2664,1859557.7208,414254251.5575,0,0.0000,0,-3286693828.8969
624,10000,852690857.8981,182560,320.1616,355712.2469,418415403.9790,0,0.0000,0,-3443799092.8759
636,10000,861261712.8338,186194,422.6078,1550782.1753,422621122.4972,0,0.0000,0,-3605110075.3731
648,10000,869918142.3663,191735,358.2625,479664.1061,426868832.4709,0,0.0000,0,-3770668767.8440
660,10000,878646332.3546,195709,362.3382,1111592.9179,431151755.2935,0,0.0000,0,-3940510383.1375
672,10000,887497029.0001,202024,390.6938,924953.5311,435494792.1284,0,0.0000,0,-4114695035.2659
684,10000,896376886.6791,210202,365.8858,281499.6402,439852138.2894,0,0.0000,0,-4293237033.5553
696,10000,905401865.7240,215253,332.8980,1438276.3738,444280695.4966,0,0.0000,0,-4476207589.0519
708,10000,914481215.2290,221733,257.6350,873556.9909,448735932.3050,0,0.0000,0,-4663633381.3569
720,10000,923658805.2627,225697,373.9523,2601723.8056,453239375.7483,0,0.0000,0,-4855562617.1052
732,10000,932960351.1983,233922,192.9551,470765.9061,457803644.3502,0,0.0000,0,-5052056121.4554
744,10000,942325911.1212,242672,196.0150,653921.7105,462399324.5833,0,0.0000,0,-5253145306.0387
756,10000,951793277.5090,249399,266.8844,1775698.9032,467044961.2638,0,0.0000,0,-5458880127.3025
768,10000,961347375.2567,258439,177.4558,1236785.6731,471733157.0411,0,0.0000,0,-5669303144.3436
780,10000,971013968.5852,269364,219.6212,478607.2401,476476554.3963,0,0.0000,0,-5884469558.7399
792,10000,980787531.4644,279388,174.9456,1936928.6441,481272441.7025,0,0.0000,0,-6104431860.4424
804,10000,990610268.9766,287765,195.5146,1769814.7176,486092458.9872,0,0.0000,0,-6329214179.4296
816,10000,1000554777.9293,290960,244.8218,2836520.5473,490972229.5298,0,0.0000,0,-6558876268.9594
828,10000,1010615623.0425,304929,214.8256,2729119.2104,495909086.2246,0,0.0000,0,-6793475215.1840
840,10000,1020770370.9856,318449,107.4051,3144904.4376,500892021.0383,0,0.0000,0,-7033057096.2223
852,10000,1031019828.1622,325307,157.6747,2329993.2098,505921429.6789,0,0.0000,0,-7277668385.9012
864,10000,1041383319.8296,338609,159.1555,2238992.0102,511006795.0503,0,0.0000,0,-7527365040.9515
876,10000,1051839341.2461,349731,194.3109,2936308.3281,516137564.7619,0,0.0000,0,-7782192465.7134
888,10000,1062399156.3125,359556,191.2756,2890378.6820,521319265.9896,0,0.0000,0,-8042201591.7030
900,10000,1073073459.6065,367240,137.5418,2629939.0214,526557146.6275,0,0.0000,0,-8307448598.3305
912,10000,1083856654.3897,388157,152.1572,1991934.4677,531848460.3283,0,0.0000,0,-8577986918.6588
924,10000,1094748472.6001,394385,95.5144,1688574.4846,537193075.5283,0,0.0000,0,-8853869854.1871
936,10000,1105730702.6797,414989,137.8372,1343629.2395,542582055.7997,0,0.0000,0,-9135141769.9868
948,10000,1116843978.7242,434593,78.6054,1317054.2031,548035340.3538,0,0.0000,0,-9421866970.3406
960,10000,1128059873.2232,457108,81.5987,2115828.7975,553538979.8049,0,0.0000,0,-9714095810.1455
972,10000,1139405049.2987,471118,71.1197,1932901.7471,559106057.6886,0,0.0000,0,-10011891727.8341
984,10000,1150835745.8679,488240,102.9392,1814680.0985,564715100.4974,0,0.0000,0,-10315296688.3315
996,10000,1162403359.7743,501471,19.7079,2889356.1889,570391328.6552,0,0.0000,0,-10624377876.9867
1008,10000,1174080910.5217,532368,62.2036,1589122.3846,576121502.7753,0,0.0000,0,-10939189239.7620
1020,10000,1186332641.6741,565547,78.6185,2249751.6960,582133427.2744,0,0.0000,0,-11260012527.0364
1032,10000,1197794907.2960,589745,40.1824,2026656.6661,587757961.0202,0,0.0000,0,-11586460348.0566
1044,10000,1209815960.2554,601850,22.2042,5043531.1291,593656691.6996,0,0.0000,0,-11918806899.7562
1056,10000,1221968322.6717,626257,36.0953,2655722.4126,599619855.9593,0,0.0000,0,-12257116615.7155
1068,10000,1234243460.2585,656328,36.4207,1222378.3293,605643265.9450,0,0.0000,0,-12601449741.6605
1080,10000,1246647631.2298,695429,35.1078,2347357.5028,611729992.6553,0,0.0000,0,-12951869594.3158
1092,10000,1259387819.4113,710160,0.0687,3341200.4361,617981602.9811,0,0.0000,0,-13308541057.2969
1104,10000,1271816216.1295,743188,7.7531,2614273.0256,624080217.2562,0,0.0000,0,-13671311134.5531
1116,10000,1284592986.5432,765371,24.1512,1418709.2950,630349778.4998,0,0.0000,0,-14040350773.0529
1128,10000,1297498741.4973,796587,0.4392,5373073.8370,636682632.4567,0,0.0000,0,-14415723265.5096
1140,10000,1310537513.9536,798376,14.0724,5239370.3269,643080758.0993,0,0.0000,0,-14797493883.6089
1152,10000,1323695796.2988,817882,13.1918,4153614.7417,649537527.2380,0,0.0000,0,-15185721270.8469
1164,10000,1336993524.1122,867402,9.6748,2113413.2471,656062722.2788,0,0.0000,0,-15580473853.1257
1176,10000,1350645293.4679,868894,2.0437,5102110.9263,662761645.5206,0,0.0000,0,-15981925358.6463
1188,10000,1363992948.1470,834402,3.4885,5768632.0206,669311339.6564,0,0.0000,0,-16389926558.3027
1200,10000,1377689068.0157,833475,9.9925,4777622.1119,676032025.6698,0,0.0000,0,-16804648443.9725
